Age,Attrition Status,Business Travel Frequency,Department,Distance From Home (km),Education Level,Education Field,Environment Satisfaction,Gender,Job Involvement,Job Level,Job Role,Job Satisfaction,Marital Status,Monthly Income ($),Count Previous Companies,Works Overtime,Salary Hike (%),Relationship Satisfaction,Stock Option Level,Total Working Years,Training Times Last Year,Work-Life Balance,Years at Company,Years in Current Role,Years Since Last Promotion,Years with Current Manager,Age Group,Income Group,Distance Group,Companies Worked Group,Salary Hike Category,Experience Group,Training Frequency,Company Tenure Group,Role Tenure Group,Promotion Recency Group,Years With Current Manager Group
41,Yes,Rarely Travels,Sales,1,Associate,Life Sciences,Medium,Female,High,Mid Level,Sales Executive,Very High,Single,5993,8,Yes,11,Low,No Stock,8,0,Bad,6,4,0,5,36–45,Medium (5k-10k),0-5,6+,Low (11–15%),6–10,Low (0–1),6–10 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
49,No,Frequently Travels,Research & Development,8,High School,Life Sciences,High,Male,Medium,Mid Level,Research Scientist,Medium,Married,5130,1,No,23,Very High,Level 1,10,3,Good,10,7,1,7,46–55,Medium (5k-10k),6-10,0–1,High (21–25%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
37,Yes,Rarely Travels,Research & Development,2,Associate,Other,Very High,Male,Medium,Entry Level,Laboratory Technician,High,Single,2090,6,Yes,15,Medium,No Stock,7,3,Good,0,0,0,0,36–45,Low (1k-5k),0-5,6+,Low (11–15%),6–10,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
33,No,Frequently Travels,Research & Development,3,Masters,Life Sciences,Very High,Female,High,Entry Level,Research Scientist,High,Married,2909,1,Yes,11,High,No Stock,8,3,Good,8,7,3,0,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,1–3 yrs,<3 yrs
27,No,Rarely Travels,Research & Development,2,High School,Medical,Low,Male,High,Entry Level,Laboratory Technician,Medium,Married,3468,9,No,12,Very High,Level 1,6,3,Good,2,2,2,2,26–35,Low (1k-5k),0-5,6+,Low (11–15%),6–10,Medium (2–3),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
32,No,Frequently Travels,Research & Development,2,Associate,Life Sciences,Very High,Male,High,Entry Level,Laboratory Technician,Very High,Single,3068,0,No,13,High,No Stock,8,2,Fair,7,7,3,6,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,1–3 yrs,6–10 yrs
59,No,Rarely Travels,Research & Development,3,Bachelors,Medical,High,Female,Very High,Entry Level,Laboratory Technician,Low,Married,2670,4,Yes,20,Low,Level 3,12,3,Fair,1,0,0,0,56-60,Low (1k-5k),0-5,4–5,Medium (16–20%),11–20,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
30,No,Rarely Travels,Research & Development,24,High School,Life Sciences,Very High,Male,High,Entry Level,Laboratory Technician,High,Divorced,2693,1,No,22,Medium,Level 1,1,2,Good,1,0,0,0,26–35,Low (1k-5k),21-30,0–1,High (21–25%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
38,No,Frequently Travels,Research & Development,23,Bachelors,Life Sciences,Very High,Male,Medium,Senior Level,Manufacturing Director,High,Single,9526,0,No,21,Medium,No Stock,10,2,Good,9,7,1,8,36–45,Medium (5k-10k),21-30,0–1,High (21–25%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
36,No,Rarely Travels,Research & Development,27,Bachelors,Medical,High,Male,High,Mid Level,Healthcare Representative,High,Married,5237,6,No,13,Medium,Level 2,17,3,Fair,7,7,7,7,36–45,Medium (5k-10k),21-30,6+,Low (11–15%),11–20,Medium (2–3),6–10 yrs,6–10 yrs,6–10 yrs,6–10 yrs
35,No,Rarely Travels,Research & Development,16,Bachelors,Medical,Low,Male,Very High,Entry Level,Laboratory Technician,Medium,Married,2426,0,No,13,High,Level 1,6,5,Good,5,4,0,3,26–35,Low (1k-5k),11-20,0–1,Low (11–15%),6–10,High (4–6),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
29,No,Rarely Travels,Research & Development,15,Associate,Life Sciences,Very High,Female,Medium,Mid Level,Laboratory Technician,High,Single,4193,0,Yes,12,Very High,No Stock,10,3,Good,9,5,0,8,26–35,Low (1k-5k),11-20,0–1,Low (11–15%),6–10,Medium (2–3),6–10 yrs,3–5 yrs,Recent (<1yr),6–10 yrs
31,No,Rarely Travels,Research & Development,26,High School,Life Sciences,Low,Male,High,Entry Level,Research Scientist,High,Divorced,2911,1,No,17,Very High,Level 1,5,1,Fair,5,2,4,3,26–35,Low (1k-5k),21-30,0–1,Medium (16–20%),0–5,Low (0–1),3–5 yrs,<3 yrs,4–5 yrs,3–5 yrs
34,No,Rarely Travels,Research & Development,19,Associate,Medical,Medium,Male,High,Entry Level,Laboratory Technician,Very High,Divorced,2661,0,No,11,High,Level 1,3,2,Good,2,2,1,2,26–35,Low (1k-5k),11-20,0–1,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
28,Yes,Rarely Travels,Research & Development,24,Bachelors,Life Sciences,High,Male,Medium,Entry Level,Laboratory Technician,High,Single,2028,5,Yes,14,Medium,No Stock,6,4,Good,4,2,0,3,26–35,Low (1k-5k),21-30,4–5,Low (11–15%),6–10,High (4–6),3–5 yrs,<3 yrs,Recent (<1yr),3–5 yrs
29,No,Rarely Travels,Research & Development,21,Masters,Life Sciences,Medium,Female,Very High,Senior Level,Manufacturing Director,Low,Divorced,9980,1,No,11,High,Level 1,10,1,Good,10,9,8,8,26–35,Medium (5k-10k),21-30,0–1,Low (11–15%),6–10,Low (0–1),6–10 yrs,6–10 yrs,6–10 yrs,6–10 yrs
32,No,Rarely Travels,Research & Development,5,Associate,Life Sciences,Low,Male,Very High,Entry Level,Research Scientist,Medium,Divorced,3298,0,Yes,12,Very High,Level 2,7,5,Fair,6,2,0,5,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),6–10,High (4–6),6–10 yrs,<3 yrs,Recent (<1yr),3–5 yrs
